Clusters ~~~~~~
13 :  ['had', 'age']
totally : ( 105 )
town : ( 72 )
trademarks : ( 110 )
traditional : ( 123 )
transactions : ( 153 )
translate : ( 110 )
trend : ( 61 )
trends : ( 80 )
true : ( 64 )
truly : ( 96 )
turn : ( 73 )
twice : ( 60 )
two : ( 58 )
typically : ( 123 )
under : ( 62 )
understand : ( 120 )
understanding : ( 150 )
underwriting : ( 162 )
unduly : ( 97 )
unfortunately : ( 192 )
unions : ( 92 )
unit : ( 64 )
united : ( 73 )
unless : ( 90 )
unlikely : ( 109 )
unorthodox : ( 154 )
unrealistic : ( 131 )
unrealized : ( 115 )
unresolved : ( 135 )
unsatisfactory : ( 191 )
unsound : ( 108 )
unusual : ( 109 )
unusually : ( 146 )
up : ( 37 )
upon : ( 66 )
urban : ( 56 )
us : ( 40 )
usual : ( 74 )
utilizing : ( 127 )
value : ( 61 )
values : ( 80 )
very : ( 70 )
via : ( 32 )
viable : ( 51 )
view : ( 59 )
vincenti : ( 96 )
volume : ( 88 )
wake : ( 40 )
want : ( 58 )
warren : ( 79 )
was : ( 43 )
washington : ( 130 )
way : ( 49 )
we : ( 28 )
welcome : ( 76 )
well : ( 52 )
were : ( 51 )
wesco : ( 65 )
what : ( 52 )
when : ( 50 )
where : ( 59 )
which : ( 51 )
while : ( 57 )
will : ( 56 )
willing : ( 86 )
winds : ( 69 )
winner : ( 83 )
wisdom : ( 83 )
with : ( 60 )
withdrawal : ( 119 )
within : ( 83 )
without : ( 116 )
work : ( 67 )
worked : ( 76 )
workers : ( 109 )
working : ( 97 )
world : ( 72 )
worth : ( 84 )
would : ( 75 )
written : ( 109 )
year : ( 49 )
yearend : ( 72 )
years : ( 68 )
yet : ( 50 )
young : ( 82 )
your : ( 79 )
